,product name,price,image url,category,product dimensions,brand,capacity,configuration,energy star,model,annual energy consumption,refrigerator fresh food capacity,freezer capacity,installation type,part number,form factor,special features,colour,voltage,number of drawers,defrost system,door orientation,door material,shelf type,number of shelves,certification,material,included components,batteries required,manufacturer,country of origin,asin,customer reviews,best sellers rank,date first available,packer,item weight,item dimensions lxwxh,net quantity,generic name,energy efficiency,volume capacity name,batteries included,model name,door material type,model number,number of memory sticks,item model number,item height,item width,wattage,power source,are batteries included?,importer,specific product use,manufacturer part number,size,stain resistant?,assembly required,special feature,cooling type,capacity name,exterior,position,volume,viscosity,imported by,weighted annual energy consumption,style,access location,package dimensions,battery cell type,finish type,mounting hardware,number of items,noise level,ice storage capacity,drawer type,bottle count,color,item part number,primary material,what is in the box?,locking mechanism,mattress comfort,weight,control console,energy efficiency rating,number of doors,is assembly required,shelf material,other display features,whats in the box,number of vents,pattern,item shape,frame type,frame material,orientation,target audience,connector type,inner material type,number of racks,cooling power,product benefits,material type free,item form,hair type,material feature,age range (description),recommended uses for product,scent,mounting type,shipping weight,specific uses for product,item volume,surface recommendation,special ingredients,air flow capacity,controls type,reservoir capacity,standby power consumption,number of speeds,liquid volume,energy consumption,airflow displacement,number of option cycles,shape,specific uses,power and plug description,eu energy efficiency label,start year,compatible devices,operating voltage,maximum voltage,filter type,floor area,operation mode,room type,max number of supported devices,batteries,hardware platform,display technology,battery description,includes rechargeable battery,connectivity technology,does it contain liquid?,maximum rotational speed,noise level spinning,number of standard cycles,noise level washing,contains liquid contents,package information,lower temperature rating,cycle options,noise level drying,controller type,capacity per washing program,standard capacity cycle,setting type,hose length,number of settings,number of jets,water consumption,spinning performance rating,washing performance rating,drying performance rating,water consumption per complete standard program,additional information,lighting,closure type,number of sets,department,storage volume,fuel type,water resistance level,specification met,oven cooking mode,control type,door style,cable length,burner type,outer material,product care instructions,fill material,number of pieces,footboard upholstery,auto focus included,heating method,is dishwasher safe,temperature range,series,fabric type,with lid,is oven safe,bulb shape size,incandescent equivalent wattage,item package quantity,light source wattage,control method,assembly type,warranty summary,speed,bowl material,is microwaveable,occasion,output wattage,has nonstick coating,inner material,capacitance,number of slices,display type,number of programmes,furniture finish,min temperature setting,max temperature setting,warranty type,weight limit,horsepower,lid material,screen size,supported internet services,resolution,refresh rate,model year,ram memory installed size,operating system,hardware interface,graphics coprocessor,tuner technology,response time,remote control description,standing screen display size,viewing angle,image aspect ratio,image contrast ratio,supported image types,screen resolution,audio input compatible with the item,audio output mode,supported audio formats,speaker surround sound channel configuration,video capture resolution,audio wattage,gsm frequencies,total usb ports,actual viewing angle,includes remote,supports bluetooth technology,memory storage capacity,remote control technology,image brightness,battery cell composition,maximum operating distance,media format,aspect ratio,battery power rating,total power outlets,maximum resolution,speakers maximum output power,processor count,wire or cable technology,surround sound channel configuration,audio encoding,ram memory maximum size,light source type,cable feature,colour screen,audio input,processor brand,processor type,cellular technology,display resolution maximum,total hdmi ports
444,"Daikin 1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, 2023 Model, MTKL35UV16, White)","32,999.",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61Y1T1q5crL._AC_SS450_.jpg,air conditioner,22.9D x 80W x 29.8H Centimeters,Daikin,1 Tons,,,MTKL35U,680.4 Kilowatt Hours Per Year,,,Split System,MTKL35U,Mini-Split,"High Ambient Operation upto 52C, 3D Airflow, Dew Clean Technology, Triple Display, PM 2.5 Filter",White,230 Volts,,,,,,,Energy Star,IDU: HIPS (High grade plastic) ; ODU: HDZP Steel Sheet,"1 Indoor Unit, 1 Outdoor Unit, 3 m Length Inter Connecting Copper Pipe, 1 Remote, 1 Manual, 1 Warranty Card",Yes,"Daikin airconditioning India Pvt. Ltd., 210, 1st Floor, Okhla Industrial Area, Phase 3, Delhi 110026, Daikin Airconditioning India Pvt. Ltd., Daikin airconditioning India Pvt. Ltd., 210, 1st Floor, Okhla Industrial Area, Phase 3, Delhi 110020",India,B0BK28T4BZ,3.9  3.9 out of 5 stars        697 ratings    3.9 out of 5 stars,"#28,805 in Home & Kitchen (See Top 100 in Home & Kitchen)  #29 in Split-System Air Conditioners",21 October 2022,"Daikin airconditioning India Pvt. Ltd., 210, 1st Floor, Okhla Industrial Area, Phase 3, Delhi 110020",38 kg 500 g,22.9 x 80 x 29.8 Centimeters,1 Count,Split airconditioner,,,Yes,,,,,,,,680.4 Kilowatt Hours,,,"Daikin airconditioning India Pvt. Ltd., 210, 1st Floor, Okhla Industrial Area, Phase 3, Delhi 110020",,,,,,"High Ambient Operation upto 52C, 3D Airflow, Dew Clean Technology, Triple Display, PM 2.5 Filter",,,,,,,,,,,,Zinc,,,,29 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,12000 British Thermal Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Blue Star Air Conditioner|2 Ton 3 Star|Fixed Speed Split AC|Copper|FB324DNU|2022|White,"51,880.",https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51bpppBfnyL._AC_SS450_.jpg,air conditioner,21.5D x 110W x 33.5H Centimeters,Blue Star,2 Tons,,,FB324DNU,1250.18 Watts,,,Split System,FB324DNU,,Dust Filter,White,230 Volts,,,,,,,energy star,Plastic,"IDU, ODU, Remote , Battery , Manuals , Installation Kit , Wire",No,"Blue Star, Blue Star, Blue Star Limted, Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020, Contact No.: 1800 209 1177 / 1860 266 6666, SMS Service to 57575, customerservice@bluestarindia.com",India,B0BM9ZV94P,5.0  5.0 out of 5 stars        1 rating    5.0 out of 5 stars,"#683,455 in Home & Kitchen (See Top 100 in Home & Kitchen)  #443 in Split-System Air Conditioners",14 November 2022,"Blue Star, Blue Star Limted, Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020, Contact No.: 1800 209 1177 / 1860 266 6666, SMS Service to 57575, customerservice@bluestarindia.com",15 kg,21.5 x 110 x 33.5 Centimeters,1 count,Fixed Split Air Conditioners,,,No,,,,,,,,6250 Watts,,,"Blue Star, Blue Star Limted, Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020, Contact No.: 1800 209 1177 / 1860 266 6666, SMS Service to 57575, customerservice@bluestarindia.com",,,,,,Dust Filter,,,,,,,,,,,,,,,,45 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,6250 Kilowatts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Blue Star Air Conditioner|2 Ton 5 Star|Inverter Split AC|IA524DNU|2022|White,"58,390.",https://m.media-amazon.com/images/I/31LW+VbBhAL._AC_SS450_.jpg,air conditioner,21.5D x 110W x 33.5H Centimeters,Blue Star,2 Tons,,,IA524DNU,935.85 Watts,,,Split System,IA524DNU,,Dust Filter,White,230 Volts,,,,,,,energy star,Plastic,"IDU, ODU, Remote , Battery , Manuals , Installation Kit , Wire",No,"Blue Star, Blue Star, Blue Star Limted, Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020, Contact No.: 1800 209 1177 / 1860 266 6666, SMS Service to 57575, customerservice@bluestarindia.com",India,B0BMB2MQ5L,4.0  4.0 out of 5 stars        4 ratings    4.0 out of 5 stars,"#49,127 in Home & Kitchen (See Top 100 in Home & Kitchen)  #44 in Split-System Air Conditioners",14 November 2022,"Blue Star, Blue Star Limted, Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020, Contact No.: 1800 209 1177 / 1860 266 6666, SMS Service to 57575, customerservice@bluestarindia.com",15 kg,21.5 x 110 x 33.5 Centimeters,1 count,Inverter Split Air Conditioners,,,No,,,,,,,,6100 Watts,,,"Blue Star, Blue Star Limted, Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020, Contact No.: 1800 209 1177 / 1860 266 6666, SMS Service to 57575, customerservice@bluestarindia.com",,,,,,Dust Filter,,,,,,,,,,,,,,,,52 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,6.1 British Thermal Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,"Godrej 1 Ton 3 Star, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 1T EI 12TINV3R32-GWA Split, White)","28,990.",https://m.media-amazon.com/images/I/51mk5253QoL._AC_SS450_.jpg,air conditioner,21D x 84.9W x 28.9H Centimeters,Godrej,1 Tons,,,AC 1T EI 12TINV3R32-GWA Split,694.03 Kilowatt Hours Per Year,,,Split System,40101701SD01255,convertible,"5-in-1 convertible technology with inverter compressor, I Sense Technology,100% copper condenser, evaporator coils & connecting tube, R32 refrigerant, Remote Control, anti-freeze thermostat, Silent Operation, Anti Dust Filter",White,230 Volts,,,,,,,Energy Star,Plastic,"1 Indoor Unit, 1 Outdoor Unit, 1 Remote Control, User manual, Warranty Card & 3m Copper wire/ Interconnecting pipe",No,"Godrej & Boyce Mfg. Co. Ltd., Godrej & Boyce Mfg. Co. Ltd, Godrej & Boyce Mfg. Co. Ltd., Pirojshanagar, Vikhroli (W), Mumbai - 400 079 Contact: 18002095511 (toll free) Or text Hi to 9321665511 on WhatsApp",India,B0BN37ZCF7,3.8  3.8 out of 5 stars        895 ratings    3.8 out of 5 stars,"#7,546 in Home & Kitchen (See Top 100 in Home & Kitchen)  #4 in Split-System Air Conditioners",31 December 2022,"Godrej & Boyce Mfg. Co. Ltd, Godrej & Boyce Mfg. Co. Ltd., Pirojshanagar, Vikhroli (W), Mumbai - 400 079 Contact: 18002095511 (toll free) Or text Hi to 9321665511 on WhatsApp",10 kg,21 x 84.9 x 28.9 Centimeters,1 Count,Split-System Air Conditioners,,,No,,,,,,,,1110 Watts,,,,,,,,,"5-in-1 convertible technology with inverter compressor, I Sense Technology,100% copper condenser, evaporator coils & connecting tube, R32 refrigerant, Remote Control, anti-freeze thermostat, Silent Operation, Anti Dust Filter",,,,,,,,,,,,,,,,37 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,3.5 Kilowatts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"LG 1 Ton 4 Star AI DUAL Inverter Split AC (Copper, AI Convertible 6-in-1 Cooling, HD Filter with Anti Virus Protection, 2023 Model, RS-Q13JNYE, White)","34,990.",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_SS450_.jpg,air conditioner,18.9D x 83.7W x 30.8H Centimeters,LG,1 Tons,,,RS-Q13JNYE,571.99 Kilowatt Hours Per Year,,,Split System,RS-Q13JNYE,Mini-Split,"Remote Controlled, Inverter Compressor, High Density Filter, Auto Clean, Fast Cooling",White,230 Volts,,,,,,,energy star,"OUTDOOR: GPSP/GP-DD, INDOOR:ABS/HIPS","1 Indoor Unit, 1 Outdoor Unit, 3 m Length Inter Connecting Copper Pipe, 1 Remote, 1 Manual, 1 Warranty Card",No,"LG Electronics India Pvt. Ltd., PLOT NO. A-5, M.I.D.C RANJANGAON, TAL SHIRUR ,PUNE--412220 RANJANGAON -412220 Maharashtra | TEL (TOLL FREE) : 1800 315 9999 / 1800 180 9999 | serviceindia@lge.com",India,B0BPYN9JGF,"4.2  4.2 out of 5 stars        1,297 ratings    4.2 out of 5 stars","#6,154 in Home & Kitchen (See Top 100 in Home & Kitchen)  #2 in Split-System Air Conditioners",13 December 2022,"LG Electronics India Pvt Ltd, PLOT NO. A-5, M.I.D.C RANJANGAON, TAL SHIRUR ,PUNE--412220 RANJANGAON -412220 Maharashtra | TEL (TOLL FREE) : 1800 315 9999 / 1800 180 9999 | serviceindia@lge.com",32 kg 100 g,18.9 x 83.7 x 30.8 Centimeters,1 Set,Split Air Conditioner,,,Yes,,,,,,,,938 Watts,,,"LG Electronics India Pvt Ltd, A-24/6 Mohan Coperative Industrial Estate, Mathura Road, New Delhi 110044 Email: serviceindia@lge.com; Tel: 1800-180-9999",,,,,,"Remote Controlled, Inverter Compressor, High Density Filter, Auto Clean, Fast Cooling",,,,,,,,571.99 Kilowatt Hours Per Year,,,,Zinc Carbon,,,,21 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,1 Tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"Samsung 1.5 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2022 Model AR18BYNZAUS White)","43,990.",https://m.media-amazon.com/images/I/11jljhayANL._AC_SS450_.jpg,air conditioner,50D x 184.5W x 29.9H Centimeters,Samsung,1.5 Tons,,,AR18BYNZAUS,4.65 Kilowatt Hours Per Year,,,Split System,AR18BYNZAUS,convertible,"Easy Filter Plus (Anti-Bacteria), Auto Clean (Self Cleaning)",White,230 Volts,,,,,,,Energy Star,copper,"1 Indoor Unit, 1 Outdoor Unit, 1 Remote Control, User manual, Warranty Card & 3m Copper wire/ Interconnecting pipe",No,"Samsung India Pvt Ltd, Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",India,B0BQ3C8DTY,,,14 December 2022,"Samsung India Pvt Ltd, Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG)",40 kg 900 g,50 x 184.5 x 29.9 Centimeters,1 Set,Split Air Conditoner,,,,,,,,,,,1380 Watts,,,"For All Product Related Complaints/assistance, please contact Manager, Customer Care Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi - 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG)",,,,,,"Easy Filter Plus (Anti-Bacteria), Auto Clean (Self Cleaning)",,,,,,,,,,,,,,,,50 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,6.2 Kilowatts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,"LG 1.5 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2023 Model, RS-Q19JNXE, White)","36,490.",https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51JFb7FctDL._AC_SS450_.jpg,air conditioner,18.9D x 83.7W x 30.8H Centimeters,LG,1.5 Tons,,,RS-Q19JNXE,968.04 Kilowatt Hours Per Year,,,Split System,RS-Q19JNXE,Mini-Split,"Inverter Compressor, Remote Controlled, Fast Cooling, Auto Clean",White,230 Volts,,,,,,,energy star,"OUTDOOR: GPSP/GP-DD, INDOOR:ABS/HIPS","1 Indoor Unit, 1 Outdoor Unit, 3 m Length Inter Connecting Copper Pipe, 1 Remote, 1 Manual.",No,"LG Electronics India Pvt Ltd, 51, Udyog Vihar, Greater Noida (UP)-201306 | serviceindia@lge.com | TEL (TOLL FREE) : 1800 315 9999 / 1800 180 9999 | serviceindia@lge.com",,B0BQ3MJ1TG,"4.0  4.0 out of 5 stars        2,233 ratings    4.0 out of 5 stars","#14,269 in Home & Kitchen (See Top 100 in Home & Kitchen)  #18 in Split-System Air Conditioners",14 December 2022,"LG Electronics India Pvt. Ltd. 51, Udyog Vihar, Greater Noida (UP)-201306 | serviceindia@lge.com | TEL (TOLL FREE) : 1800 315 9999 / 1800 180 9999 | serviceindia@lge.com",37 kg 500 g,18.9 x 83.7 x 30.8 Centimeters,1 Set,Split Air Conditioners,,,Yes,,,,,,,,1700 Watts,,,"A-24/6 Mohan Coperative Industrial Estate, Mathura Road, New Delhi 110044",,,,,,"Inverter Compressor, Remote Controlled, Fast Cooling, Auto Clean",,,,,,,,968.04 Kilowatt Hours Per Year,,,,Zinc Carbon,,,,26 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,1000 British Thermal Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2023 Model, RS-Q19YNZE, White)","44,990.",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_SS450_.jpg,air conditioner,21D x 99.8W x 34.5H Centimeters,LG,1.5 Tons,,5 Star,RS-Q19YNZE,685.26 Kilowatt Hours Per Year,,,Split System,RS-Q19YNZE,Mini-Split,"Inverter Compressor, Remote Controlled, Dehumidifier, Fast Cooling, Auto Clean",White,230 Volts,,,,,,,energy star,"OUTDOOR: GPSP/GP-DD, INDOOR:ABS/HIPS","1 Indoor Unit, 1 Outdoor Unit, 3 m Length Inter Connecting Copper Pipe, 1 Remote, 1 Manual.",No,"LG Electronics India Pvt Ltd, 51, Udyog Vihar, Greater Noida (UP)-201306 | serviceindia@lge.com | TEL (TOLL FREE) : 1800 315 9999 / 1800 180 9999 | serviceindia@lge.com",,B0BQ3MXML8,"4.1  4.1 out of 5 stars        2,228 ratings    4.1 out of 5 stars","#3,430 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1 in Split-System Air Conditioners",14 December 2022,"LG Electronics India Pvt. Ltd. 51, Udyog Vihar, Greater Noida (UP)-201306 | serviceindia@lge.com | TEL (TOLL FREE) : 1800 315 9999 / 1800 180 9999 | serviceindia@lge.com",41 kg,21 x 99.8 x 34.5 Centimeters,1 Set,Split Air Conditioners,,,Yes,,,,,,,,1130 Watts,,,"A-24/6 Mohan Coperative Industrial Estate, Mathura Road, New Delhi 110044",,,,,,"Inverter Compressor, Remote Controlled, Dehumidifier, Fast Cooling, Auto Clean",,,,,,,,685.26 Kilowatt Hours Per Year,,,,Zinc Carbon,,,,31 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,"Hitachi 1 Ton 3 Star Fixed Speed Split AC (100% Copper, Dust Filter, 2022 Model, Senpai 3200FL, R32-RAS.B312PCAIBA, White)",,https://m.media-amazon.com/images/I/51boDb1F12L._AC_SS450_.jpg,air conditioner,22.2D x 78W x 28H Centimeters,Hitachi,1 Tons,,,RAS.B312PCAIBA,706.76 Kilowatt Hours,,,Split System,RAS.B312PCAIBA,,"High Density Filter, Anti Bacterial Filter, Fixed Speed, Dehumidifier, Fast Cooling",White,230 Volts,,,,,,,energy star,copper,"1 Indoor Unit, 1 Outdoor Unit, 3 m Length Inter Connecting Copper Pipe, 1 Remote, 1 Manual, 1 Warranty Card",Yes,"Manufacturer, JCH-IN., Hitachi Complex, Karannagar, Kadi. Dist. Mehsana- 382715. Gujarat. India. Customer Care No. 7567884848. email: customercare@jci-hitachi.com",,B0BQ79YT4N,3.5  3.5 out of 5 stars        13 ratings    3.5 out of 5 stars,"#554,980 in Home & Kitchen (See Top 100 in Home & Kitchen)  #359 in Split-System Air Conditioners",15 December 2022,"JCH-IN., Hitachi Complex, Karannagar, Kadi. Dist. Mehsana- 382715. Gujarat. India. Customer Care No. 7567884848. email: customercare@jci-hitachi.com",37 kg 500 g,22.2 x 78 x 28 Centimeters,1 Count,Split-System Air Conditioners,,,Yes,,,,,,,,913 KW,,,"JCH-IN., Hitachi Complex, Karannagar, Kadi. Dist. Mehsana- 382715. Gujarat. India. Customer Care No. 7567884848. email: customercare@jci-hitachi.com",,,,,,"High Density Filter, Anti Bacterial Filter, Fixed Speed, Dehumidifier, Fast Cooling",,,,,,,,,,,,Zinc Carbon,,,,36 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,12000 British Thermal Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,"Hitachi 1.5 Ton 3 Star Fixed Speed Split AC (100% Copper, Dust Filter, 2022 Model, Senpai 3200FL, R32-RAS.B318PCAIBA, White)",,https://m.media-amazon.com/images/I/51n9FlxxhaL._AC_SS450_.jpg,air conditioner,25D x 105W x 29.4H Centimeters,Hitachi,1.5 Tons,,,RAS.B318PCAIBA,1039.62 Kilowatt Hours,,,Split System,RAS.B318PCAIBA,,"High Density Filter, Anti Bacterial Filter, Fixed Speed, Dehumidifier, Fast Cooling",White,230 Volts,,,,,,,energy star,copper,"1 Indoor Unit, 1 Outdoor Unit, 3 m Length Inter Connecting Copper Pipe, 1 Remote, 1 Manual, 1 Warranty Card",Yes,"Manufacturer, JCH-IN., Hitachi Complex, Karannagar, Kadi. Dist. Mehsana- 382715. Gujarat. India. Customer Care No. 7567884848. email: customercare@jci-hitachi.com",,B0BQ7CNJMC,4.1  4.1 out of 5 stars        12 ratings    4.1 out of 5 stars,"#386,137 in Home & Kitchen (See Top 100 in Home & Kitchen)  #256 in Split-System Air Conditioners",15 December 2022,"JCH-IN., Hitachi Complex, Karannagar, Kadi. Dist. Mehsana- 382715. Gujarat. India. Customer Care No. 7567884848. email: customercare@jci-hitachi.com",47 kg 500 g,25 x 105 x 29.4 Centimeters,1 Count,Split-System Air Conditioners,,,Yes,,,,,,,,1343 KW,,,"JCH-IN., Hitachi Complex, Karannagar, Kadi. Dist. Mehsana- 382715. Gujarat. India. Customer Care No. 7567884848. email: customercare@jci-hitachi.com",,,,,,"High Density Filter, Anti Bacterial Filter, Fixed Speed, Dehumidifier, Fast Cooling",,,,,,,,,,,,Zinc Carbon,,,,39 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,17500 British Thermal Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,"IFB 1.5 Ton 4 Star Inverter Split AC (Copper, Flexi 8-in-1 Convertible Cooling, HD Compressor, Smart Ready, 2023 Model, CI2041G323G1, Ivory Matte)","39,690.",https://m.media-amazon.com/images/I/51RRYPPVGFL._AC_SS450_.jpg,air conditioner,31.6D x 100.1W x 22H Centimeters,IFB,1.5 Tons,,,CI2041G323G1,867.16 Kilowatt Hours,,,Split System,CI2041G323G1,convertible,"Inverter Compressor, Remote Controlled, Hidden Display, Dual temperature Display, Smart Diagnosis System, Stabilizer Free Operation within 155~285 V range, Dust Filter, Fast Cooling, Air Purification Filter, Hi Grooved Copper, LED Display on/Off; On/Off Timer; Sleep mode; Auto Restart",Ivory Matte,230 Volts,,,,,,,Energy Star,Plastic,"1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 2 Manuals with Warranty Card, 2 Batteries",No,"IFB Industries Ltd., IFB Industries Ltd., IFB Industries, Verna Industrial Estate, Goa - 403722",India,B0BQBQ6689,4.2  4.2 out of 5 stars        278 ratings    4.2 out of 5 stars,"#286,108 in Home & Kitchen (See Top 100 in Home & Kitchen)  #190 in Split-System Air Conditioners",16 December 2022,"IFB Industries Ltd., IFB Industries, Verna Industrial Estate, Goa - 403722",44 kg,31.6 x 100.1 x 22 Centimeters,1 Count,Air Conditioners,,,,,,,,,,,5210 Watts,,,"IFB Industries Ltd., IFB Industries, Verna Industrial Estate, Goa - 403722",,,,,,"Inverter Compressor, Remote Controlled, Hidden Display, Dual temperature Display, Smart Diagnosis System, Stabilizer Free Operation within 155~285 V range, Dust Filter, Fast Cooling, Air Purification Filter, Hi Grooved Copper, LED Display on/Off; On/Off Timer; Sleep mode; Auto Restart",,,,,,,,,,,,,,,,39 dB,,,,,,,,,,,remote control,,,,,,,,,,,,,,,,,6000 British Thermal Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
